Año_Transfer,Periodo_de_corte,Nit_Transfer,Name_Entidad,Codigo_Departamento,Departamento,Codigo_del_Impuesto,Concepto,Tipo_Sorteo,ValorTransferido,Mes
2020,1,890801007,Lotería de Manizales,76,Valle Del Cauca,1,Impuesto a foráneas,Ordinario,12650625,Enero
2020,1,899999025,Lotería de la Cruz Roja,20,Cesar,1,Impuesto a foráneas,Ordinario,7661250,Enero
2020,1,890801007,Lotería de Manizales,17,Caldas,2,Renta del monopolio - Porcentaje de ingresos,Ordinario,222839400,Enero
2020,1,800244699,Lotería del Huila,23,Córdoba,1,Impuesto a foráneas,Ordinario,1155375,Enero
2020,1,899999025,Lotería de la Cruz Roja,68,Santander,1,Impuesto a foráneas,Ordinario,12515625,Enero
2020,1,891801039,Lotería de Boyacá,47,Magdalena,1,Impuesto a foráneas,Ordinario,5614125,Enero
2020,1,809008775,Lotería del Tolima,86,Putumayo,1,Impuesto a foráneas,Ordinario,538200,Enero
2020,1,890201725,Lotería Santander,70,Sucre,1,Impuesto a foráneas,Ordinario,217500,Enero
2020,1,860037234,Lotería de Cundinamarca,11,Bogotá D.C.,9,Premios No Reclamados,Ordinario,73931048,Enero
2020,1,891500650,Lotería del Cauca,11,Bogotá D.C.,1,Impuesto a foráneas,Ordinario,8017000,Enero
2020,1,800244699,Lotería del Huila,41,Huila,3,Impuesto a ganadores,Ordinario,52105397,Enero
2020,1,809008775,Lotería del Tolima,66,Risaralda,1,Impuesto a foráneas,Ordinario,5968125,Enero
2020,1,800123949,Lotería del Meta,8,Atlántico,1,Impuesto a foráneas,Ordinario,3460500,Enero
2020,1,891500650,Lotería del Cauca,13,Bolívar,1,Impuesto a foráneas,Ordinario,3008475,Enero
2020,1,890801007,Lotería de Manizales,50,Meta,1,Impuesto a foráneas,Ordinario,234000,Enero
2020,1,890399027,Lotería del Valle,13,Bolívar,1,Impuesto a foráneas,Ordinario,6961800,Enero
2020,1,890201725,Lotería Santander,19,Cauca,1,Impuesto a foráneas,Ordinario,186000,Enero
2020,1,890000474,Lotería del Quindio,50,Meta,1,Impuesto a foráneas,Ordinario,433800,Enero
2020,1,890000474,Lotería del Quindio,17,Caldas,1,Impuesto a foráneas,Ordinario,5874600,Enero
2020,1,860037234,Lotería de Cundinamarca,5,Antioquia,1,Impuesto a foráneas,Ordinario,32427000,Enero
2020,1,899999270,Lotería de Bogotá,68,Santander,1,Impuesto a foráneas,Ordinario,19957875,Enero
2020,1,891801039,Lotería de Boyacá,88,San Andrés,1,Impuesto a foráneas,Ordinario,1487625,Enero
2020,1,800240153,Lotería del Risaralda,8,Atlántico,1,Impuesto a foráneas,Ordinario,3091500,Enero
2020,1,890980058,Lotería de Medellín,91,Amazonas,1,Impuesto a foráneas,Ordinario,287550,Enero
2020,1,800123949,Lotería del Meta,20,Cesar,1,Impuesto a foráneas,Ordinario,105975,Enero
2020,1,860026634,Sorteo Extra de Colombia,52,Nariño,3,Impuesto a ganadores,ExtraOrdinario,9983550,Enero
2020,1,890980058,Lotería de Medellín,13,Bolívar,1,Impuesto a foráneas,Ordinario,22010850,Enero
2020,1,891801039,Lotería de Boyacá,19,Cauca,1,Impuesto a foráneas,Ordinario,1789500,Enero
2020,1,890399027,Lotería del Valle,44,La Guajira,1,Impuesto a foráneas,Ordinario,2433900,Enero
2020,1,899999270,Lotería de Bogotá,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,7906125,Enero
2020,1,899999025,Lotería de la Cruz Roja,63,Quindio,1,Impuesto a foráneas,Ordinario,3592125,Enero
2020,1,809008775,Lotería del Tolima,41,Huila,1,Impuesto a foráneas,Ordinario,3284550,Enero
2020,1,800123949,Lotería del Meta,27,Chocó,1,Impuesto a foráneas,Ordinario,371250,Enero
2020,1,809008775,Lotería del Tolima,81,Arauca,1,Impuesto a foráneas,Ordinario,256950,Enero
2020,1,890801007,Lotería de Manizales,63,Quindio,1,Impuesto a foráneas,Ordinario,4296938,Enero
2020,1,890399027,Lotería del Valle,66,Risaralda,1,Impuesto a foráneas,Ordinario,5649600,Enero
2020,1,890000474,Lotería del Quindio,76,Valle Del Cauca,1,Impuesto a foráneas,Ordinario,20989000,Enero
2020,1,809008775,Lotería del Tolima,63,Quindio,1,Impuesto a foráneas,Ordinario,5128875,Enero
2020,1,890399027,Lotería del Valle,76,Valle Del Cauca,2,Renta del monopolio - Porcentaje de ingresos,Ordinario,516048000,Enero
2020,1,891500650,Lotería del Cauca,99,Vichada,1,Impuesto a foráneas,Ordinario,80775,Enero
2020,1,800240153,Lotería del Risaralda,97,Vaupés,1,Impuesto a foráneas,Ordinario,40050,Enero
2020,1,860037234,Lotería de Cundinamarca,66,Risaralda,1,Impuesto a foráneas,Ordinario,3209700,Enero
2020,1,890000474,Lotería del Quindio,88,San Andrés,1,Impuesto a foráneas,Ordinario,261900,Enero
2020,1,800240153,Lotería del Risaralda,27,Chocó,1,Impuesto a foráneas,Ordinario,682200,Enero
2020,1,890000474,Lotería del Quindio,63,Quindio,9,Premios No Reclamados,Ordinario,37853307,Enero
2020,1,809008775,Lotería del Tolima,73,Tolima,2,Renta del monopolio - Porcentaje de ingresos,Ordinario,162901440,Enero
2020,1,800244699,Lotería del Huila,47,Magdalena,1,Impuesto a foráneas,Ordinario,482850,Enero
2020,1,899999025,Lotería de la Cruz Roja,23,Córdoba,1,Impuesto a foráneas,Ordinario,8066250,Enero
2020,1,890399027,Lotería del Valle,41,Huila,1,Impuesto a foráneas,Ordinario,2300700,Enero
2020,1,809008775,Lotería del Tolima,68,Santander,1,Impuesto a foráneas,Ordinario,302400,Enero
2020,1,890801007,Lotería de Manizales,66,Risaralda,1,Impuesto a foráneas,Ordinario,11492250,Enero
2020,1,800240153,Lotería del Risaralda,20,Cesar,1,Impuesto a foráneas,Ordinario,110475,Enero
2020,1,890000474,Lotería del Quindio,91,Amazonas,1,Impuesto a foráneas,Ordinario,19800,Enero
2020,1,800123949,Lotería del Meta,86,Putumayo,1,Impuesto a foráneas,Ordinario,354150,Enero
2020,1,809008775,Lotería del Tolima,73,Tolima,9,Premios No Reclamados,Ordinario,50165272,Enero
2020,1,809008775,Lotería del Tolima,47,Magdalena,1,Impuesto a foráneas,Ordinario,546750,Enero
2020,1,890801007,Lotería de Manizales,81,Arauca,1,Impuesto a foráneas,Ordinario,218813,Enero
2020,1,890980058,Lotería de Medellín,70,Sucre,1,Impuesto a foráneas,Ordinario,32410800,Enero
2020,1,890980058,Lotería de Medellín,76,Valle Del Cauca,1,Impuesto a foráneas,Ordinario,78884100,Enero
2020,1,800123949,Lotería del Meta,11,Bogotá D.C.,1,Impuesto a foráneas,Ordinario,32755089,Enero
2020,1,800244699,Lotería del Huila,85,Casanare,1,Impuesto a foráneas,Ordinario,303750,Enero
2020,1,891500650,Lotería del Cauca,41,Huila,1,Impuesto a foráneas,Ordinario,3164850,Enero
2020,1,890399027,Lotería del Valle,85,Casanare,1,Impuesto a foráneas,Ordinario,859500,Enero
2020,1,891500650,Lotería del Cauca,68,Santander,1,Impuesto a foráneas,Ordinario,477225,Enero
2020,1,891500650,Lotería del Cauca,8,Atlántico,1,Impuesto a foráneas,Ordinario,7574625,Enero
2020,1,800240153,Lotería del Risaralda,15,Boyacá,1,Impuesto a foráneas,Ordinario,277650,Enero
2020,1,809008775,Lotería del Tolima,85,Casanare,1,Impuesto a foráneas,Ordinario,345375,Enero
2020,1,809008775,Lotería del Tolima,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,21150,Enero
2020,1,800244699,Lotería del Huila,20,Cesar,1,Impuesto a foráneas,Ordinario,343800,Enero
2020,1,891801039,Lotería de Boyacá,63,Quindio,1,Impuesto a foráneas,Ordinario,12805500,Enero
2020,1,890980058,Lotería de Medellín,15,Boyacá,1,Impuesto a foráneas,Ordinario,3753450,Enero
2020,1,891500650,Lotería del Cauca,70,Sucre,1,Impuesto a foráneas,Ordinario,455850,Enero
2020,1,800240153,Lotería del Risaralda,17,Caldas,1,Impuesto a foráneas,Ordinario,10544400,Enero
2020,1,800244699,Lotería del Huila,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,26550,Enero
2020,1,890980058,Lotería de Medellín,41,Huila,1,Impuesto a foráneas,Ordinario,7773750,Enero
2020,1,809008775,Lotería del Tolima,19,Cauca,1,Impuesto a foráneas,Ordinario,1230300,Enero
2020,1,890980058,Lotería de Medellín,95,Guaviare,1,Impuesto a foráneas,Ordinario,379350,Enero
2020,1,890000474,Lotería del Quindio,19,Cauca,1,Impuesto a foráneas,Ordinario,1528200,Enero
2020,1,800244699,Lotería del Huila,99,Vichada,1,Impuesto a foráneas,Ordinario,225,Enero
2020,1,890801007,Lotería de Manizales,13,Bolívar,1,Impuesto a foráneas,Ordinario,2391188,Enero
2020,1,800244699,Lotería del Huila,8,Atlántico,1,Impuesto a foráneas,Ordinario,3676050,Enero
2020,1,899999270,Lotería de Bogotá,88,San Andrés,1,Impuesto a foráneas,Ordinario,1334250,Enero
2020,1,891500650,Lotería del Cauca,95,Guaviare,1,Impuesto a foráneas,Ordinario,109125,Enero
2020,1,890980058,Lotería de Medellín,94,Guainía,1,Impuesto a foráneas,Ordinario,118350,Enero
2020,1,800244699,Lotería del Huila,25,Cundinamarca,1,Impuesto a foráneas,Ordinario,3904000,Enero
2020,1,890201725,Lotería Santander,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,10857000,Enero
2020,1,899999025,Lotería de la Cruz Roja,18,Caquetá,1,Impuesto a foráneas,Ordinario,411000,Enero
2020,1,899999270,Lotería de Bogotá,91,Amazonas,1,Impuesto a foráneas,Ordinario,361875,Enero
2020,1,809008775,Lotería del Tolima,52,Nariño,1,Impuesto a foráneas,Ordinario,1354275,Enero
2020,1,800244699,Lotería del Huila,50,Meta,1,Impuesto a foráneas,Ordinario,589500,Enero
2020,1,891801039,Lotería de Boyacá,17,Caldas,1,Impuesto a foráneas,Ordinario,26711625,Enero
2020,1,890980058,Lotería de Medellín,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,3665250,Enero
2020,1,891500650,Lotería del Cauca,81,Arauca,1,Impuesto a foráneas,Ordinario,285975,Enero
2020,1,890801007,Lotería de Manizales,47,Magdalena,1,Impuesto a foráneas,Ordinario,539063,Enero
2020,1,890980058,Lotería de Medellín,23,Córdoba,1,Impuesto a foráneas,Ordinario,36126450,Enero
2020,1,809008775,Lotería del Tolima,20,Cesar,1,Impuesto a foráneas,Ordinario,150975,Enero
2020,1,891500650,Lotería del Cauca,76,Valle Del Cauca,1,Impuesto a foráneas,Ordinario,110920725,Enero
2020,1,800240153,Lotería del Risaralda,86,Putumayo,1,Impuesto a foráneas,Ordinario,498375,Enero
2020,1,891500650,Lotería del Cauca,52,Nariño,1,Impuesto a foráneas,Ordinario,3685950,Enero
2020,1,891801039,Lotería de Boyacá,50,Meta,1,Impuesto a foráneas,Ordinario,22786500,Enero
2020,1,891801039,Lotería de Boyacá,44,La Guajira,1,Impuesto a foráneas,Ordinario,3199875,Enero
2020,1,800240153,Lotería del Risaralda,85,Casanare,1,Impuesto a foráneas,Ordinario,400950,Enero
2020,1,860037234,Lotería de Cundinamarca,20,Cesar,1,Impuesto a foráneas,Ordinario,5507700,Enero
2020,1,860037234,Lotería de Cundinamarca,95,Guaviare,1,Impuesto a foráneas,Ordinario,339000,Enero
2020,1,800240153,Lotería del Risaralda,73,Tolima,1,Impuesto a foráneas,Ordinario,9987525,Enero
2020,1,890801007,Lotería de Manizales,73,Tolima,1,Impuesto a foráneas,Ordinario,5898375,Enero
2020,1,890801007,Lotería de Manizales,88,San Andrés,1,Impuesto a foráneas,Ordinario,77813,Enero
2020,1,890201725,Lotería Santander,81,Arauca,1,Impuesto a foráneas,Ordinario,777375,Enero
2020,1,860037234,Lotería de Cundinamarca,47,Magdalena,1,Impuesto a foráneas,Ordinario,2794500,Enero
